name,identity,alignment,appearanceCount,yearOfAppearance
Joey Chambers,Public Identity,Neutral,3,2004
Kalyx,,Good,3,2004
Lefty,Public Identity,Good,3,2004
Leo Zelinsky,Public Identity,Neutral,3,2004
Lonnie Shakespeare,Public Identity,,3,2004
Luc,Secret Identity,Good,3,2004
Michiyo Watanabe,,Good,3,2004
Mikhail Smerdyakov,Public Identity,Neutral,3,2004
Mitya Smerdyakov,Public Identity,Good,3,2004
Moloka Dar,No Dual Identity,Bad,3,2004
Noah van Helsing,,Good,3,2004
Ralf (DermaFree guinea pig),Public Identity,Good,3,2004
Raymond Keyes,Secret Identity,Good,3,2004
Rita (Waitress),Public Identity,Neutral,3,2004
Rojas,No Dual Identity,,3,2004
Sasha,Public Identity,Good,3,2004
Stringer,Public Identity,Neutral,3,2004
Sylvette Lauziere,Public Identity,Good,3,2004
Tarquin Berdeaux,,Neutral,3,2004
Terri Kidder,,,3,2004
Tess Black,Secret Identity,Neutral,3,2004
Zed,,Good,3,2004
Zelda (District X),Public Identity,Bad,3,2004
Zius,,Neutral,3,2004
Abu-Jamal Rodriguez,No Dual Identity,Bad,3,2005
Antoinelle Arceneaux,,,3,2005
Book (Annika),,Good,3,2005
Daniel Shawcross,No Dual Identity,,3,2005
Doug Taggert,Secret Identity,Good,3,2005
Edward Vance,,,3,2005
Father Lantom,,,3,2005
Gene Lorrene,Secret Identity,Bad,3,2005
General,Secret Identity,Bad,3,2005
Halphas,Secret Identity,Bad,3,2005
Hyun Rahman,Secret Identity,Bad,3,2005
Jean Bradley,Public Identity,Neutral,3,2005
Jill Kincaid,,,3,2005
Jono Baraka,,Good,3,2005
Laline Ortega,Public Identity,Good,3,2005
Lars Branco,Public Identity,Bad,3,2005
Martha Gomes,Secret Identity,Bad,3,2005
Martin Sutter,Public Identity,,3,2005
Njeri Damphousse,Secret Identity,Bad,3,2005
The Entity,Secret Identity,Neutral,3,2005
Vegas,Secret Identity,,3,2005
Zombie (Howling Commandos),Secret Identity,,3,2005
Aftaab Lemar,,Bad,3,2006
Andreas Vadas,,Bad,3,2006
Andrei Gorlovich,,Bad,3,2006
Apocalypse Beast,,Bad,3,2006
Ara Tanzerian,,Bad,3,2006
Av-Rom,No Dual Identity,Neutral,3,2006
Brigand,,Bad,3,2006
Damian Tryp Jr.,Secret Identity,Neutral,3,2006
Denebo Aruc III,Public Identity,,3,2006
Dennis Kellard,,Bad,3,2006
Extirpia,No Dual Identity,Bad,3,2006
First Fallen,Secret Identity,Bad,3,2006
Gloria Santiago,Public Identity,Neutral,3,2006
Grace Darling,,,3,2006
Greexix,Public Identity,,3,2006
Gretchen Zeller,Secret Identity,,3,2006
Hawal,Public Identity,Bad,3,2006
Hybalea,,,3,2006
Jack Abrams,Secret Identity,Bad,3,2006
Jack Vaughn,Public Identity,Bad,3,2006
James Madrox (The X-Factor),Secret Identity,Bad,3,2006
Jasper Angevine,Public Identity,Good,3,2006
Joaquim Robichaux,Secret Identity,Good,3,2006
Josephine Tyler,Secret Identity,Good,3,2006
Kabar Brashir,Secret Identity,Bad,3,2006
Lucia Page,Public Identity,Neutral,3,2006
Margaret Slade,,,3,2006
Mari (Rigellian),Public Identity,Good,3,2006
Matador (Juan),,,3,2006
Minnie Floyd,Public Identity,Good,3,2006
Mr. Munroe,Secret Identity,Good,3,2006
One-Eyed Jacquie,Secret Identity,Good,3,2006
Philadelphia Filly,Secret Identity,Good,3,2006
Philip Gavin,,Bad,3,2006
Provost,Secret Identity,Bad,3,2006
Pusher Man,,Bad,3,2006
Randall Nixon,Public Identity,,3,2006
Tantrum,,,3,2006
Terry Maguire,Public Identity,Good,3,2006
Vince Dio,,Bad,3,2006
Zakim Karzai,,Bad,3,2006
Agent Carver,Secret Identity,Good,3,2007
Avia (Inhuman),No Dual Identity,,3,2007
Barko,Secret Identity,Neutral,3,2007
Black Maria,Secret Identity,Neutral,3,2007
Caleb,Secret Identity,,3,2007
Cooper Roth,Public Identity,Bad,3,2007
Darlene (Host),No Dual Identity,,3,2007
Daystar (Spaceknight),Public Identity,,3,2007
Deimne,,Good,3,2007
Desidera,No Dual Identity,Good,3,2007
Difference Engine,Public Identity,Good,3,2007
Draconis,Secret Identity,Bad,3,2007
George Pelham,Secret Identity,Neutral,3,2007
Infernal Man,Secret Identity,Bad,3,2007
Joe (National Force),Secret Identity,Bad,3,2007
Jonathan Raven,Secret Identity,,3,2007
Mister Prast,Public Identity,Bad,3,2007
Mortimer Grimsdale,Secret Identity,Bad,3,2007
Namor McKenzie (Onslaught Reborn),Public Identity,Good,3,2007
Nancy Ridley,Public Identity,Good,3,2007
Pamela Pierce,Secret Identity,,3,2007
Robert Bruce Banner (Onslaught Reborn),Secret Identity,Good,3,2007
Rockwell Davis,Secret Identity,Neutral,3,2007
Seamus MacGillicuddy,Secret Identity,Neutral,3,2007
Shadu the Shady,Secret Identity,Neutral,3,2007
Starktech 9,,Good,3,2007
Susan Catrini,,Neutral,3,2007
The Storyteller (Gavin),,Neutral,3,2007
Vera Vidal,Secret Identity,,3,2007
Witchbreaker,,,3,2007
Zoran,No Dual Identity,Bad,3,2007
2-D,Secret Identity,Good,3,2008
Abyss,Secret Identity,Bad,3,2008
Akihira,Secret Identity,Neutral,3,2008
Atsuko,,Good,3,2008
Augeas,,,3,2008
Blue Eagle,Public Identity,Good,3,2008
Carmine Karnelli,Public Identity,Bad,3,2008
"Carol Danvers (Modern, Skrull)",Secret Identity,Bad,3,2008
Castlemere,,Bad,3,2008
Chilly McHotpants,Secret Identity,Bad,3,2008
Chrell,Secret Identity,Bad,3,2008
Chris Chernin,,Bad,3,2008
Clayton Wojciehowicz,Public Identity,Bad,3,2008
Conserve And Protect,Public Identity,Bad,3,2008
Emilee Freeman,Public Identity,Neutral,3,2008
Erich Eisenhardt,,Good,3,2008
Fountainhead,Secret Identity,Neutral,3,2008
Fracture,,Bad,3,2008
Henry Pym (Giant-Man Skrull),Secret Identity,Bad,3,2008
Hope (Liberteens),Public Identity,Good,3,2008
Jash,Secret Identity,Bad,3,2008
Massdriver,Secret Identity,Neutral,3,2008
Metzger,Secret Identity,Bad,3,2008
Monk Theppie,Secret Identity,Bad,3,2008
Ms. America,Public Identity,Good,3,2008
Nasim Rahimov,Public Identity,Bad,3,2008
Natsumi,Secret Identity,Neutral,3,2008
Orpheus,Public Identity,Good,3,2008
Ouranos,Public Identity,Neutral,3,2008
Paul Brokeridge,No Dual Identity,,3,2008
Ralph Roberts (Skrull),Secret Identity,Bad,3,2008
Rock of Buddha,,Bad,3,2008
Ruth Eisenhardt,,Good,3,2008
Saboteur (Fourth),Secret Identity,Bad,3,2008
Sean Boyle,,Bad,3,2008
Sinister Six (Skrull),Secret Identity,Bad,3,2008
Wanda Maximoff (Skrull),Secret Identity,Bad,3,2008
Aban,,Bad,3,2009
Akpaxa,,Bad,3,2009
Albakor,,Good,3,2009
Alexander Erde,,Good,3,2009
Arkady Markov,,Good,3,2009
Asylum (Initiative),Secret Identity,Bad,3,2009
Axis Annie,Secret Identity,Bad,3,2009
Baron Skullfire,Secret Identity,,3,2009
Cameron McGill,,Good,3,2009
Clown (Legion Personality),No Dual Identity,Bad,3,2009
Davis Harmon,,Bad,3,2009
Drexel (Legion Personality),No Dual Identity,Bad,3,2009
Eramis,,Bad,3,2009
Fraulein Fatale,Secret Identity,Bad,3,2009
Frederick (Mutant),,Neutral,3,2009
Hodinn (Praetorian),Secret Identity,Bad,3,2009
Jenni Pate,Secret Identity,Bad,3,2009
Jonathan N. York,Secret Identity,Bad,3,2009
Jorge Valdez,Public Identity,Bad,3,2009
Lara Wilkinson,No Dual Identity,Neutral,3,2009
Lydia Stumpmeyer,Public Identity,Neutral,3,2009
Madame Mauser,Secret Identity,Bad,3,2009
Marinette Bwa Chech,Secret Identity,,3,2009
Maximilian Ritter,Public Identity,Good,3,2009
Morass,Secret Identity,Bad,3,2009
Oboroth,No Dual Identity,,3,2009
Pannix,,Bad,3,2009
Penny Panzer,Secret Identity,Bad,3,2009
Pythagoras Dupree,Public Identity,Bad,3,2009
Salac Tuur,Public Identity,Neutral,3,2009
Thomas Jefferson,Public Identity,Good,3,2009
Travis Nevins,,,3,2009
Wendigo (American),Secret Identity,Bad,3,2009
Yana Li,Secret Identity,Neutral,3,2009
Archon,Secret Identity,Good,3,2010
Bakuto (The Hand),,Bad,3,2010
Cherry Blossom,Secret Identity,Good,3,2010
Damiella,Secret Identity,Good,3,2010
Fahd Alireza,Secret Identity,Neutral,3,2010
Galileo Galilei,Public Identity,Good,3,2010
Gyre (Raptor),No Dual Identity,Bad,3,2010
Inhuman Torch,Secret Identity,Bad,3,2010
Makoto (The Hand),,Bad,3,2010
Makro,Secret Identity,Bad,3,2010
Monster (Dream Realm),Secret Identity,Bad,3,2010
Mustafa Kazun,Secret Identity,Bad,3,2010
Neutron (Second),Secret Identity,Good,3,2010
Number Ninety-Six,Secret Identity,Neutral,3,2010
Olvido,Secret Identity,Bad,3,2010
Phorcys,Public Identity,Bad,3,2010
Reina Alvarez,Public Identity,Good,3,2010
Ryan Ralston,No Dual Identity,Good,3,2010
Skinner (FBI),No Dual Identity,Neutral,3,2010
Steven Rogers (Dr Bong Clone),No Dual Identity,Bad,3,2010
Superior (Bastards of Evil),Secret Identity,Bad,3,2010
Takashi (The Hand),,Bad,3,2010
Thane (Ano-Athox),Public Identity,Bad,3,2010
Vaipala Rani,,Neutral,3,2010
William Nguyen,No Dual Identity,Neutral,3,2010
Yuki,Secret Identity,Bad,3,2010
Yutaka (The Hand),,Bad,3,2010
Adam Mann,,Bad,3,2011
Agent Anesthesia,Secret Identity,Bad,3,2011
American Panther,Secret Identity,Bad,3,2011
Angrir,Public Identity,Bad,3,2011
Bonegrinder,Secret Identity,Bad,3,2011
Burnt Orange,Secret Identity,,3,2011
Commander Kak,Public Identity,Good,3,2011
Cu Sith,Secret Identity,Bad,3,2011
Darkstrider,Secret Identity,Bad,3,2011
Driver Reese,,Neutral,3,2011
Endgame (Legion Personality),Secret Identity,Bad,3,2011
Funtzel,No Dual Identity,Neutral,3,2011
Greithoth,Public Identity,Bad,3,2011
Grigori,,Bad,3,2011
Gun Metal,Secret Identity,,3,2011
Haleena,Public Identity,Neutral,3,2011
John Russel,Public Identity,Neutral,3,2011
Jonathan Standish,,Bad,3,2011
Josh Glenn,Secret Identity,Bad,3,2011
Karen Anderson,Public Identity,Neutral,3,2011
Kasha,Secret Identity,Bad,3,2011
Kingsley Rice (Zombie Clone),Secret Identity,Bad,3,2011
Leonard Walls,Public Identity,Neutral,3,2011
Mahmoud Ahmadinejad,No Dual Identity,Bad,3,2011
Mr. Ichiki,Public Identity,Neutral,3,2011
Nia Jones,Secret Identity,Good,3,2011
Obb,No Dual Identity,Neutral,3,2011
Okami,Secret Identity,Bad,3,2011
Paris Green,Secret Identity,,3,2011
Robert Christansen,Public Identity,Neutral,3,2011
Rocky Flint,Public Identity,Good,3,2011
Rupert Kingsley,Secret Identity,Good,3,2011
Skirn,Public Identity,Bad,3,2011
Sophia Sanduval,Public Identity,Good,3,2011
Susan in Sunshine (Legion Personality),Secret Identity,Neutral,3,2011
Terry Roland,Secret Identity,Neutral,3,2011
Baylee Ann,,Bad,3,2012
Bloodbath,Secret Identity,Bad,3,2012
Captain Nemo,No Dual Identity,,3,2012
Deconsecrator,,Bad,3,2012
Fifty-One,Secret Identity,Good,3,2012
Flower (Assassin),Secret Identity,Bad,3,2012
Hunter,Public Identity,Good,3,2012
Jason Wyngarde (Clone),Secret Identity,Bad,3,2012
Jefferson Chambers,,,3,2012
Johnny Ito,Public Identity,Good,3,2012
Krakoa (Sinister London),,Bad,3,2012
Machete (unnamed female),,Bad,3,2012
Menace (Covenant),Secret Identity,Good,3,2012
Meteor,Secret Identity,Good,3,2012
Minister Marvel,Public Identity,Neutral,3,2012
Pietro Maximoff (Clone),Secret Identity,Bad,3,2012
Red Feather III,Secret Identity,Good,3,2012
Scout (Mutant),Secret Identity,Good,3,2012
Shadowshift,Secret Identity,Good,3,2012
Skunk Ape,Secret Identity,Neutral,3,2012
Star,Secret Identity,Good,3,2012
Terrance Mitchell,No Dual Identity,Neutral,3,2012
Virusplague,Secret Identity,Neutral,3,2012
Wanda Maximoff (Clone),Secret Identity,Bad,3,2012
Wyatt Crowley,,,3,2012
X-666,,Bad,3,2012
Alexandra Draguno,Secret Identity,Neutral,3,2013
Bride,Secret Identity,Neutral,3,2013
Galahad (Wilheim),Secret Identity,Neutral,3,2013
Hitman (Hobgoblin),Secret Identity,Bad,3,2013
Ikari,Secret Identity,Neutral,3,2013
Justicar,Public Identity,Neutral,3,2013
Tumbler (Hobgoblin),Secret Identity,Bad,3,2013
Unicorn (Hobgoblin),Secret Identity,Bad,3,2013
Validator,Secret Identity,Good,3,2013
Yun Guang Han,,Bad,3,2013
Cactus (American Frontier),Public Identity,Good,2,1957
Dan Hawk,Public Identity,Good,2,1957
Anne Norton,Public Identity,Good,2,1958
Pan (Olympian God),,Neutral,2,1959
Sydney Burr,Public Identity,Bad,2,1959
Cathy Jones,Public Identity,Neutral,2,1960
Dangerous Doll,Secret Identity,Neutral,2,1960
Darius Zorn,Public Identity,Bad,2,1960
Genie,Secret Identity,Good,2,1960
Man in Black,Secret Identity,Neutral,2,1960
Raaka,Secret Identity,Good,2,1960
Simon Drudd,Public Identity,Bad,2,1960
Sporr (Amoeba Mutate),Public Identity,Neutral,2,1960
Anne Bronson,No Dual Identity,Good,2,1961
Boris Petrovsky,Public Identity,Good,2,1961
Creature From the Black Bog,Secret Identity,Good,2,1961
Dan Harper,,,2,1961
Davey Jones,Secret Identity,,2,1961
Howard Avery,Secret Identity,Bad,2,1961
Hugo Barge,Public Identity,Bad,2,1961
Hunk Larken,Public Identity,Neutral,2,1961
Ivan Petrovsky,Public Identity,Bad,2,1961
Korilla,Secret Identity,Bad,2,1961
Korumbu,Public Identity,Neutral,2,1961
Max Garr,Public Identity,Neutral,2,1961
Mechano,,Bad,2,1961
Robert Bronson,No Dual Identity,Good,2,1961
Robot X,Public Identity,,2,1961
Roc (Monster),,Neutral,2,1961
Salty Gruner,Secret Identity,Bad,2,1961
Sandman (Alien),Secret Identity,Bad,2,1961
Sserpo,Public Identity,Bad,2,1961
Steve Bronson,Public Identity,Good,2,1961
Zamu,,Bad,2,1961
Zankor,,Bad,2,1961
Adam Able,Secret Identity,,2,1962
Bill Gordon (Silver Age),No Dual Identity,Neutral,2,1962
Cack Clugg,Public Identity,Bad,2,1962
Don Russell,Secret Identity,Bad,2,1962
Edward Harrison,,Good,2,1962
Gorgi Gruff,Public Identity,Bad,2,1962
Kraggoom,Secret Identity,Bad,2,1962
Luther Benedict,Secret Identity,Neutral,2,1962
Luther Gorr,Secret Identity,Bad,2,1962
Monster At the Window,Secret Identity,Bad,2,1962
Monstrollo,,,2,1962
Oog,,Neutral,2,1962
Paul Marshall,Secret Identity,Bad,2,1962
Robert Carter,No Dual Identity,Good,2,1962
Torkon II,,Bad,2,1962
Torrak,,,2,1962
X-13,Public Identity,Neutral,2,1962
Actor (Spy),Secret Identity,Bad,2,1963
Audumla (Magic cow),Secret Identity,Good,2,1963
Charleton Carter,Public Identity,,2,1963
Elias Weams,,Neutral,2,1963
Heath Benson,Secret Identity,Bad,2,1963
Liso Trago,,,2,1963
Mayer,Public Identity,Good,2,1963
Neri (Asgardian),,,2,1963
Supremacy,,Bad,2,1963
Ted (Teen Brigade),Secret Identity,Good,2,1963
Ugarth (Xartan),,Bad,2,1963
Willie (Teen Brigade),Secret Identity,Good,2,1963
Agnar,No Dual Identity,,2,1964
Arkin,,Bad,2,1964
Brimer,,Bad,2,1964
Flint (Inspector),Public Identity,Good,2,1964
Hati,Secret Identity,Bad,2,1964
Honir,,Good,2,1964
Igor (Red Agent),,,2,1964
Mary Storm,Public Identity,Good,2,1964
Nedra,,Bad,2,1964
Porky,,,2,1964
Richard Flint,Public Identity,Good,2,1964
Sam (Bruiser),,,2,1964
Sindri,,Good,2,1964
Svenzaldo Zambooba,,,2,1964
Tommy,Public Identity,,2,1964
Vanna,,Bad,2,1964
Abu Ben Hakim,,Good,2,1965
Carl Kaxton,,,2,1965
Charlie (Pilot),Public Identity,,2,1965
Commissar (Android),Public Identity,Bad,2,1965
Deacon (Criminal),Secret Identity,Bad,2,1965
Dean Corliss,No Dual Identity,Good,2,1965
Doctor Van Eyck,,Good,2,1965
Erica Wolfmann,Secret Identity,Bad,2,1965
Kanga Khan,Public Identity,Bad,2,1965
"Marko, the Manhunter",Public Identity,Neutral,2,1965
Masked Maverick (Mason),Secret Identity,Bad,2,1965
Milton Monroe,,Good,2,1965
Sentinel 17,Secret Identity,Bad,2,1965
Sentinel 3,Public Identity,Bad,2,1965
Sentinel 3-D,Secret Identity,Bad,2,1965
Sentinel 3-R,Public Identity,Bad,2,1965
Sentinel 4,Secret Identity,Bad,2,1965
Sentinel 5,Secret Identity,Bad,2,1965
Sentinel 9,Public Identity,Bad,2,1965
Sentinel O,Secret Identity,Bad,2,1965
Sentinel T,Secret Identity,Bad,2,1965
Uller,Public Identity,Good,2,1965
Artificial being,,Bad,2,1966
Crusher (Agent of Pluto),Secret Identity,,2,1966
Dave (Guard),Public Identity,,2,1966
Feepers,,,2,1966
Franz Anton,,,2,1966
Horst Lederer,Public Identity,Neutral,2,1966
Hulk-Killer,,,2,1966
John Thomas,Public Identity,,2,1966
Karl Stragg,,,2,1966
Konrad Zaxon,,Bad,2,1966
Lucy Barton,Public Identity,Good,2,1966
Robot Alpha,Secret Identity,,2,1966
Robot Beta,Secret Identity,,2,1966
Robot Delta,Secret Identity,,2,1966
Robot Epsilon,Secret Identity,,2,1966
Robot Gamma,Secret Identity,,2,1966
Slagg,,,2,1966
Stallion of Doom,,,2,1966
Wilder Berne,,Bad,2,1966
Cobalt-Robot,,,2,1967
Dragorr,Secret Identity,Bad,2,1967
Harry (Stark Enterprises),,,2,1967
"It, the Silent One",,Bad,2,1967
Ivan,,,2,1967
Kuro Chin,Secret Identity,Good,2,1967
Makoth,Public Identity,Neutral,2,1967
Ogur,Public Identity,Bad,2,1967
Planner,,Bad,2,1967
Servo-Robot,Secret Identity,Neutral,2,1967
Cyberex,,Bad,2,1968
Destructon,,Bad,2,1968
Drexel Cord,No Dual Identity,Neutral,2,1968
Indestructible One,,Bad,2,1968
Irma Kruhl,,Bad,2,1968
Judy Harmon,,Neutral,2,1968
Oldar,Public Identity,Neutral,2,1968
Romnar,Public Identity,Bad,2,1968
Saru-San,,Bad,2,1968
Tartaro,Public Identity,Bad,2,1968
A3,,Bad,2,1969
Al B. Harper,No Dual Identity,Good,2,1969
Borgo,,Neutral,2,1969
Crime-Wave (Hollis),Secret Identity,Bad,2,1969
Ecce,,Neutral,2,1969
Fara,,Bad,2,1969
Harris (NYPD),Public Identity,,2,1969
Hermp,,Neutral,2,1969
Kenneth Ward,,Good,2,1969
Llyna,Secret Identity,Good,2,1969
Ludwig von Frankenstein,Public Identity,Bad,2,1969
Mandroid (Kree),,,2,1969
Number 7,,Bad,2,1969
Robert Bruce Banner (Mandarin Robot),Secret Identity,Bad,2,1969
Super-Patriot,Secret Identity,Bad,2,1969
Yarro Gort,No Dual Identity,Bad,2,1969
Buck Ralston,Secret Identity,Bad,2,1970
Charybdis,Public Identity,Bad,2,1970
Diamond Head,Secret Identity,Bad,2,1970
Doctor Kronton,Secret Identity,,2,1970
Draxon,Public Identity,Bad,2,1970
Gimlet,Secret Identity,Bad,2,1970
Jack Van Nyborg,,Bad,2,1970
Kaliban,Public Identity,Neutral,2,1970
Miklos Vryolak,Secret Identity,,2,1970
MK-5,Secret Identity,Good,2,1970
Mogol,No Dual Identity,Neutral,2,1970
Nigel Carruthers,,Bad,2,1970
Polyphemus,Public Identity,Bad,2,1970
Ross Archer,,Bad,2,1970
Saburo Yoshida,Public Identity,Good,2,1970
Scylla,Public Identity,Bad,2,1970
Starr,,Good,2,1970
Su,,,2,1970
Trull,,Bad,2,1970
Val-Larr,Secret Identity,Good,2,1970
Vince Sterling,,Bad,2,1970
Zoga (Robot),Secret Identity,,2,1970
Asmodeus (Inhuman),No Dual Identity,Neutral,2,1971
Aunt Serr,Secret Identity,Bad,2,1971
Condor (Daredevil Foe),Secret Identity,Bad,2,1971
David Arnstead,Public Identity,Good,2,1971
Demitrius,Secret Identity,Bad,2,1971
Erik Gorbo,,Bad,2,1971
Farley London,Secret Identity,Bad,2,1971
Guardian of Infinity,,,2,1971
Iranda,Public Identity,Good,2,1971
Karl Serr,,Bad,2,1971
Lucile Serr,,Good,2,1971
Neron-Alak,Secret Identity,Bad,2,1971
Proteus (Atlantean Sage),,Good,2,1971
Raama,Public Identity,Good,2,1971
Ralph Cosgrove,Public Identity,Good,2,1971
Ramrod (alien),Secret Identity,Bad,2,1971
Samson Washington,Secret Identity,Bad,2,1971
Shara-Lee,Public Identity,Bad,2,1971
Slasher,Secret Identity,Bad,2,1971
Spymaster (Original),Secret Identity,Bad,2,1971
Tuvia,No Dual Identity,Neutral,2,1971
White Dragon (Iron Man),Secret Identity,Bad,2,1971
Barton Blaze,,,2,1972
Bert Tacker,,Bad,2,1972
Bulwar (Asgard),,Good,2,1972
Calizuma,Secret Identity,Bad,2,1972
Chiron (Inhuman),,,2,1972
Emory Simpson,Public Identity,Good,2,1972
Fialan,,Bad,2,1972
Flaidermaus,,,2,1972
Gregson Grant,,Neutral,2,1972
H. Warren Craddock,,Good,2,1972
Jacob Bolt,Public Identity,Good,2,1972
Jarr,Public Identity,Bad,2,1972
Jefferson Bolt,Public Identity,Neutral,2,1972
Jules Carter,,Bad,2,1972
Khan (Asgard),,Good,2,1972
Monck,,Bad,2,1972
Mrs. Baker,Public Identity,Neutral,2,1972
Pinyon,,,2,1972
Robert Bruce Banner (Counter-Earth),No Dual Identity,Good,2,1972
Roger Dutton,No Dual Identity,Neutral,2,1972
Rongor (Asgard),Public Identity,Good,2,1972
Satrina,,Good,2,1972
Strug,,Neutral,2,1972
Torg the Abominable Snow-King,Secret Identity,Bad,2,1972
Tyrr,Public Identity,Neutral,2,1972
Whitemane (Asgard),,Good,2,1972
Ariel (Zephyrean),,,2,1973
Catherine Saint,,Bad,2,1973
Chandu,Secret Identity,Bad,2,1973
Filius Omen,Public Identity,Bad,2,1973
Frank Jenks,,Good,2,1973
Harry Pace,Public Identity,Neutral,2,1973
Hektu,Public Identity,,2,1973
Hilda Zemo,Public Identity,Neutral,2,1973
Hugh McCoy,Public Identity,Bad,2,1973
Jason Frankenstein,,,2,1973
Jennifer Glatzer,Public Identity,Bad,2,1973
Kagg,,,2,1973
Living Buddha,Secret Identity,Bad,2,1973
Lorna Zane,,Neutral,2,1973
Marcia Deaton,Public Identity,,2,1973
Moose Morgan,Public Identity,Bad,2,1973
Nergal,Secret Identity,Bad,2,1973
Quellor,,Bad,2,1973
Rihva,,Bad,2,1973
Rothgar,,,2,1973
Sarnak,Secret Identity,Bad,2,1973
Slugger Johnson,,,2,1973
Tammuz,,,2,1973
Ulla,Secret Identity,Bad,2,1973
Volpan,Public Identity,Good,2,1973
Yezdigerd,No Dual Identity,,2,1973
Agent of Heaven,Secret Identity,Good,2,1974
Apocalypse (Mr.Kazarian),Secret Identity,Bad,2,1974
Behemoth (Kay-Twelve),,Bad,2,1974
Brad Wrangle,Public Identity,Bad,2,1974
Chaga,No Dual Identity,Good,2,1974
Danton Vayla,No Dual Identity,Bad,2,1974
Duke Mannery,Secret Identity,Bad,2,1974
Ebrok,,,2,1974
Elianne Turac,No Dual Identity,Bad,2,1974
Ezekiel Tork,Public Identity,Good,2,1974
Ferguson Blaine,Public Identity,,2,1974
Gail Paris,Public Identity,,2,1974
Garvey,Public Identity,,2,1974
Giuseppe Montesi,,Good,2,1974
Granitor,Secret Identity,Bad,2,1974
Hunchback of Notre Dame,No Dual Identity,Bad,2,1974
Inanna,Public Identity,Bad,2,1974
Joe Cord,Public Identity,,2,1974
Kometes,,Neutral,2,1974
Liza Pyne,Public Identity,Bad,2,1974
Lizhardus,,Bad,2,1974
Lord Karnaj,,Bad,2,1974
Ma Mayhem,Secret Identity,Bad,2,1974
Malgato,Secret Identity,Bad,2,1974
Maybelle Tork,Public Identity,Neutral,2,1974
Mister Slick,Secret Identity,Bad,2,1974
Molecule Man (Artifical Construct),,Bad,2,1974
Nestos,No Dual Identity,Bad,2,1974
Nicholas Bordia,Public Identity,Bad,2,1974
Paxton Pentecost,Public Identity,,2,1974
Phineas T. Coroner,,Bad,2,1974
Razorblade,,Bad,2,1974
Robert Russo,Public Identity,Good,2,1974
Sanford,Public Identity,Neutral,2,1974
Scythe (Mercenary),,Bad,2,1974
Shu-Hu,,Neutral,2,1974
Snatos,No Dual Identity,Bad,2,1974
Ternak,Public Identity,Bad,2,1974
Thugra Khothan,Public Identity,,2,1974
Tragg (Carnival),Public Identity,,2,1974
Wally Bevins,Public Identity,,2,1974
Zofia Dracula,Public Identity,Good,2,1974
Alchemoid,,Bad,2,1975
Andre Rostov,Secret Identity,,2,1975
Anthony Serba,,,2,1975
Belaric Marcosa,,Bad,2,1975
Bill Gordon (Bronze Age),No Dual Identity,Bad,2,1975
Borgia (Roclite),Public Identity,Bad,2,1975
Centarius,Public Identity,,2,1975
Daphne von Wilkinson,No Dual Identity,Bad,2,1975
Dryminextes,,Bad,2,1975
Father Darklyte,Secret Identity,Bad,2,1975
Francis William Maxwell,Public Identity,Good,2,1975
Frobbank,,Neutral,2,1975
Gervasse,,Good,2,1975
Grant Whittacker,,Good,2,1975
Harrison J. Merriwell,Public Identity,,2,1975
Hermann von Reitberger,Public Identity,Bad,2,1975
Janet Lyton,,Good,2,1975
Juan Aponte,Secret Identity,Bad,2,1975
Legion (Possessors),Secret Identity,Bad,2,1975
MCM-XLI,,Neutral,2,1975
Michael Rodgers,,Bad,2,1975
Oruthu,,Bad,2,1975
Ramon Grant,Public Identity,,2,1975
Shaya,Secret Identity,,2,1975
Sheeas,Secret Identity,Bad,2,1975
Sky-Walker (Starron),Secret Identity,Neutral,2,1975
Steel Serpent (Death Touch),Public Identity,Bad,2,1975
Takkor,Secret Identity,Bad,2,1975
Tapping Tommy,Public Identity,Bad,2,1975
Taramis,No Dual Identity,Good,2,1975
Thaug,,Bad,2,1975
Ushas,Secret Identity,,2,1975
Xepdgin,,Neutral,2,1975
Abraham Beame,No Dual Identity,Neutral,2,1976
Amos Crawley,No Dual Identity,Neutral,2,1976
Arno,No Dual Identity,Bad,2,1976
Arus,No Dual Identity,Neutral,2,1976
Assassin (Maria),Secret Identity,Bad,2,1976
Braggadoom,,,2,1976
Broop,,,2,1976
Carmen Escudero,,,2,1976
Carol Harding,No Dual Identity,Good,2,1976
Conquer-Lord (Quinn),Secret Identity,Bad,2,1976
Edward Lansing,No Dual Identity,Bad,2,1976
Geronimo,Public Identity,Neutral,2,1976
Harlan Stillwell,No Dual Identity,Neutral,2,1976
Heathcliff Rochester,No Dual Identity,,2,1976
Jack,Public Identity,,2,1976
Jon Peahl,Secret Identity,Bad,2,1976
Juan Elmirez,Public Identity,Good,2,1976
Keith Jackson,No Dual Identity,Good,2,1976
Kerwin Kronus,Public Identity,Good,2,1976
Lodur (Asgardian),Secret Identity,Good,2,1976
Mac-Ronn,No Dual Identity,,2,1976
Mangler (Daniels),,Bad,2,1976
Maxwell Glenn,No Dual Identity,Neutral,2,1976
Menoetius,Public Identity,Bad,2,1976
Merlin (Robot),,Good,2,1976
Mikhail Kutuzov,No Dual Identity,Neutral,2,1976
Morgan le Fay (Robot),,Bad,2,1976
Mrs. Dragonsworth,No Dual Identity,,2,1976
Omar Karindu,No Dual Identity,Good,2,1976
Patsy Dragonsworth,No Dual Identity,,2,1976
Ragar,Public Identity,Bad,2,1976
